Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Long Biên,10.03,Khu dan cu,Tho cu + Dat vuon,62,4.8,3,3,2,7.7,Duong nhua,1,1,1,Tây,Chờ sổ,Cao,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,25,7.75
Hoàng Mai,9.49,Khu dan cu dong duc,Full tho cu,45,8.9,6,4,1,11.5,Duong nhua,1,0,1,Bắc,Chờ sổ,Cao,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,1,7.69
Mê Linh,29.43,Trong lang xom,Full tho cu,112,12.8,1,2,3,12.4,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,5,6.89
Ba Vì,67.0,Trong lang xom,Tho cu + Dat vuon,85,13.5,1,2,3,2.3,Duong dat,0,0,0,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),1,0,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Nat/Can dap di,17,0.5
Chương Mỹ,26.15,Trong lang xom,Full tho cu,153,5.9,2,4,2,2.7,Duong dat,0,0,1,Đông Bắc,Chờ sổ,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,Can sua chua,Binh thuong,17,3.24
Phú Xuyên,32.79,Gan lang nghe,Tho cu + Dat vuon,67,13.6,2,4,4,11.6,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,1,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,14,1.02
Cầu Giấy,8.21,Khu dan cu dong duc,Full tho cu,66,4.4,8,2,3,13.2,Duong nhua,1,0,1,Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,13,16.46
Ba Đình,3.24,Khu dan cu dong duc,Full tho cu,67,9.1,7,7,1,12.8,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,7,28.2
Thanh Trì,11.52,Khu dan cu,Full tho cu,73,11.0,3,3,2,2.0,Duong be tong,0,0,1,Đông Nam,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,5,5.65
Ba Đình,3.17,Khu dan cu dong duc,Full tho cu,67,10.6,6,12,10,14.8,Duong nhua,1,1,1,Tây,Vi bằng,Trung binh,Bình thường,0,1,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,15,24.7
Hoài Đức,22.02,Gan KCN,Full tho cu,75,10.1,5,4,1,5.9,Duong nhua,1,1,1,Đông Nam,Chờ sổ,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,2,7.45
Thanh Oai,21.3,Gan KCN,Full tho cu,48,6.8,1,1,2,14.4,Duong nhua,1,0,0,Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,5,3.1
Thanh Trì,13.77,Gan KCN,Full tho cu,74,9.1,3,5,6,11.6,Duong nhua,1,1,1,Tây Nam,Vi bằng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,4,6.54
Phúc Thọ,29.71,Mat duong Quoc lo,Tho cu + Dat vuon,82,7.7,2,1,1,14.7,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),1,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Nat/Can dap di,23,1.33
Hai Bà Trưng,4.38,Khu dan cu dong duc,Full tho cu,43,9.8,6,6,6,10.5,Duong nhua,1,0,1,Đông,Vi bằng,Thap,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Nat/Can dap di,20,8.96
Phú Xuyên,33.0,Trong lang xom,Tho cu + Dat vuon,47,11.4,2,3,3,7.5,Duong nhua,1,0,1,Tây,Chờ sổ,Trung binh,Rất tốt (Khu VIP),0,1,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,1,0.68
