Quan_Huyen,Dac_diem_khu_vuc,Loai_dat,Loai_duong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Tuoi_nha_nam,O_to_vao,Co_Gara,Co_San_thuong,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gia_ban_ty
Thanh Oai,Gan KCN,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,21.39,39,4.2,5,6,5,8.1,5,1,0,1,0,0,2.41
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Hợp đồng mua bán,Cao,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,Hay hong,Xuong cap nhe,32.42,97,6.7,1,1,1,5.5,28,1,1,0,0,1,2.86
Phú Xuyên,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông,Hợp đồng mua bán,Cao,Bình thường,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,30.81,154,6.9,2,4,4,13.3,6,1,1,1,0,0,3.33
Thạch Thất,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Trung binh,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Xuong cap nhe,25.64,93,5.2,1,1,1,7.4,24,1,1,0,0,0,7.09
Thanh Trì,Khu dan cu,Full tho cu,Duong be tong,Đông Nam,Vi bằng,Trung binh,Tốt,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,12.62,38,9.7,4,3,3,5.0,4,1,0,1,0,0,3.97
Ứng Hòa,Trong lang xom,Tho cu + Dat vuon,Duong dat,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,46.29,127,9.6,2,3,3,2.4,10,0,0,1,0,0,1.36
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,3.73,61,3.9,4,2,2,11.1,13,1,0,1,0,0,24.18
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,4.38,89,8.6,2,4,2,1.8,6,0,0,1,0,0,22.82
Thanh Trì,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Bắc,Chờ sổ,Trung binh,Bình thường,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,14.05,87,10.4,2,1,2,8.9,11,1,1,1,0,0,6.27
Nam Từ Liêm,Khu dan cu,Tho cu + Dat vuon,Duong nhua,Tây,Chờ sổ,Cao,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,10.53,103,7.6,1,2,3,13.3,5,1,1,0,0,0,10.5
