Quan,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Gan_Metro_Bus,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Tinh_trang_ngap,Noi_that,Tinh_trang_Dien_Nuoc,Tuoi_nha_nam,Gia_ban_ty
Nam Từ Liêm,14.27,74,7.8,3,1,1,6.6,Đường nhựa,1,1,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Hay hỏng,21,11.3
Nam Từ Liêm,12.13,60,5.6,3,5,3,10.6,Đường bê tông,1,1,1,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Hay hỏng,13,8.9
Thanh Xuân,8.63,45,9.5,2,1,2,5.7,Đường bê tông,1,0,0,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,10,8.6
Hoàng Mai,8.19,73,7.9,3,3,1,6.9,Đường bê tông,1,1,1,1,Thấp,Tốt,1,Không ngập,Full cao cấp,Hay hỏng,25,12.23
Hoàng Mai,8.77,33,9.9,5,7,8,8.2,Đường bê tông,1,0,1,1,Thấp,Tốt,1,Không ngập,Full cao cấp,Tốt,5,4.52
Ba Đình,2.27,26,3.8,2,2,1,11.4,Đường nhựa,1,0,0,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,26,10.93
Hai Bà Trưng,3.77,68,9.2,2,3,4,3.2,Đường bê tông,0,0,0,0,Trung bình,Kém (Hay mất trộm),1,Không ngập,Full cao cấp,Tốt,30,12.05
Tây Hồ,5.66,116,9.0,7,1,2,11.5,Đường bê tông,1,1,1,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,11,44.2
Ba Đình,3.55,25,7.2,2,3,1,8.1,Đường nhựa,1,0,0,0,Trung bình,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,29,8.81
Đống Đa,3.94,47,3.5,3,2,2,2.4,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,13,10.63
Đống Đa,4.31,56,7.9,6,5,4,10.0,Đường nhựa,1,1,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,13,19.21
Hoàn Kiếm,0.22,81,8.6,4,1,2,1.9,Đường bê tông,0,0,1,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,27,40.42
Nam Từ Liêm,12.51,68,9.7,2,3,4,9.3,Đường đất,1,1,0,1,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,11,14.21
Cầu Giấy,8.26,65,3.1,5,5,3,6.7,Đường nhựa,1,0,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,5,16.84
Bắc Từ Liêm,16.95,65,8.3,7,14,9,8.0,Đường bê tông,1,1,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,30,8.35
Thanh Xuân,7.19,69,6.1,2,4,5,7.9,Đường nhựa,1,1,0,0,Trung bình,Tốt,1,Không ngập,Đồ gỗ xịn,Tốt,6,11.49
Long Biên,5.48,36,7.5,4,2,2,5.7,Đường bê tông,1,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Hay hỏng,16,7.35
Ba Đình,3.03,120,6.2,6,10,8,1.7,Đường bê tông,0,0,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,2,38.27
Hà Đông,12.64,99,5.3,3,2,1,2.6,Đường bê tông,0,0,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,30,11.71
Hoàng Mai,10.39,25,3.7,5,9,6,8.6,Đường đất,1,0,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,5,4.16
Bắc Từ Liêm,14.52,34,9.4,1,2,3,11.1,Đường nhựa,1,0,0,0,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Hay hỏng,12,3.44
Thanh Xuân,8.86,87,5.0,1,1,2,6.5,Đường bê tông,1,1,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,0,17.65
